

Memory 	 	 Data

4	 	 14
5	 	 00
6	 	 37
7	 	 48
8	 	 10
9	 	 3d
a	 	 00
b	 	 00
c	 	 3a
d	 	 28
e	 	 00
f	 	 34
10	 	 30
11	 	 00
12	 	 19
13	 	 48
14	 	 10
15	 	 65
16	 	 3C
17	 	 00
18	 	 07
19	 	 00
1a	 	 00
1b	 	 2e
1c	 	 0C
1d	 	 00
1e	 	 3d
1f	 	 00
20	 	 00
21	 	 31
22	 	 0C
23	 	 00
24	 	 3a
25	 	 48
26	 	 10
27	 	 65
28	 	 08
29	 	 00
2a	 	 37
2b	 	 4C
2c	 	 00
2d	 	 00
2e	 	 45
2f	 	 4F
30	 	 46
31	 	 00
32	 	 00
33	 	 03
34	 	 00
35	 	 00
36	 	 00
103d	 	 04
103e	 	 00
103f	 	 34
1040	 	 00
1041	 	 00
1042	 	 34
1043	 	 E0
1044	 	 10
1045	 	 61
1046	 	 30
1047	 	 10
1048	 	 3F
1049	 	 D8
104a	 	 10
104b	 	 61
104c	 	 28
104d	 	 00
104e	 	 34
104f	 	 30
1050	 	 10
1051	 	 5b
1052	 	 54
1053	 	 80
1054	 	 3d
1055	 	 2C
1056	 	 10
1057	 	 62
1058	 	 38
1059	 	 10
105a	 	 43
105b	 	 10
105c	 	 00
105d	 	 3a
105e	 	 4C
105f	 	 00
1060	 	 00
1061	 	 F1
1062	 	 00
1063	 	 10
1064	 	 00
1065	 	 04
1066	 	 00
1067	 	 34
1068	 	 E0
1069	 	 10
106a	 	 7d
106b	 	 30
106c	 	 10
106d	 	 68
106e	 	 50
106f	 	 80
1070	 	 3d
1071	 	 DC
1072	 	 10
1073	 	 7d
1074	 	 2C
1075	 	 00
1076	 	 3a
1077	 	 38
1078	 	 10
1079	 	 68
107a	 	 4C
107b	 	 00
107c	 	 00
107d	 	 10
